month_ID,ME_rank10,Re
13,1,0.02906152857418939
13,2,0.027165656226858573
13,3,0.03533215539689677
13,4,0.054480331061012875
13,5,0.04603700186066183
13,6,0.04381645709017953
13,7,0.053044599218634796
13,8,0.03984954883106513
13,9,0.053562373658530664
13,10,0.04782422307945259
14,1,0.022932720244184673
14,2,0.030454764658736228
14,3,0.03787747244145267
14,4,0.034130734107847956
14,5,0.018973528107395547
14,6,0.03772846379830869
14,7,0.01963305258515099
14,8,0.030354283711957662
14,9,0.04520940354993196
14,10,0.024439671655226033
15,1,0.04714341422968392
15,2,0.02733979019204061
15,3,0.02457170760961569
15,4,-0.008737862763335602
15,5,-0.03205996911768373
15,6,-0.03161133584021669
15,7,-0.03320907847131809
15,8,-0.05919780984531854
15,9,-0.048004352491271836
15,10,-0.06608238929961148
16,1,-0.046662645527378234
16,2,-0.03059348177571034
16,3,-0.017801468925654176
16,4,-0.025176611728580434
16,5,-0.024995363455531758
16,6,-0.01757512598851529
16,7,-0.01955695408310829
16,8,-9.655162617939247e-4
16,9,-0.005855041824899328
16,10,0.013668820885761877
17,1,-0.031184945090956526
17,2,-0.03051720929563268
17,3,-0.02309210937908262
17,4,-0.021557374722596803
17,5,-0.026743419278326644
17,6,-0.028161492614152316
17,7,-0.028393941967907593
17,8,-0.024492560047187282
17,9,-0.027886338383102165
17,10,0.0014304708154055344
18,1,-0.0037357328714903394
18,2,-0.018482873719663895
18,3,-0.019554322307229505
18,4,-0.017071097741296865
18,5,-0.019712351791803074
18,6,-0.023471451305395824
18,7,-0.03684480159627296
18,8,-0.022684760644161073
18,9,-0.03140457055412698
18,10,-0.03397652049259152
19,1,0.005835767772895817
19,2,0.003965097797339402
19,3,-7.772344715573855e-4
19,4,-0.002309063292004185
19,5,0.014003488558941436
19,6,0.011059924561187397
19,7,0.030681985885657823
19,8,0.03857483381252745
19,9,0.016706996211392974
19,10,0.02182861553330227
20,1,0.05370269524416389
20,2,0.05685994459207205
20,3,0.04669792036662485
20,4,0.038688091007703644
20,5,0.04660352217538709
20,6,0.04255646592069608
20,7,0.03562605001577101
20,8,0.05967392816784227
20,9,0.03781429141965763
20,10,0.046602758806549564
21,1,0.08443770669673038
21,2,0.07461518139137396
21,3,0.0589592436622935
21,4,0.0678775359150114
21,5,0.05263774702862032
21,6,0.03284598059576841
21,7,0.04940783322777943
21,8,0.04671780583813322
21,9,0.047394131311911857
21,10,0.015133415754022486
